"Tag Name","PLC Name","Address","Data Type","Comment"
"Dia_Ms_Roller_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D778","32-bit Float","Duong kinh lo ghep Ms (mm)"
"Dia_S_Roller_mm","Mitsubishi Q00/Q00UJ/Q01/QJ71","D648","32-bit Float","Duong kinh lo Dau S (mm)"
"Kp_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","D670","32-bit Float","He so Kp PID Truc T"
"Ki_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","D672","32-bit Float","He so Ki PID Truc T"
"Kd_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","D674","32-bit Float","He so Kd PID Truc T"
"Kp_X1","Mitsubishi Q00/Q00UJ/Q01/QJ71","D676","32-bit Float","He so Kp PID Truc X1"
"Ki_X1","Mitsubishi Q00/Q00UJ/Q01/QJ71","D678","32-bit Float","He so Ki PID Truc X1"
"Kd_X1","Mitsubishi Q00/Q00UJ/Q01/QJ71","D680","32-bit Float","He so Kd PID Truc X1"
"Kp_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","D682","32-bit Float","He so Kp PID Truc M"
"Ki_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","D684","32-bit Float","He so Ki PID Truc M"
"Kd_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","D686","32-bit Float","He so Kd PID Truc M"
"Kp_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","D688","32-bit Float","He so Kp PID Truc U"
"Ki_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","D690","32-bit Float","He so Ki PID Truc U"
"Kd_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","D692","32-bit Float","He so Kd PID Truc U"
"Kp_X2","Mitsubishi Q00/Q00UJ/Q01/QJ71","D681","32-bit Float","He so Kp PID Toc do Master X2"
"Ki_X2","Mitsubishi Q00/Q00UJ/Q01/QJ71","D683","32-bit Float","He so Ki PID Toc do Master X2"
"Kd_X2","Mitsubishi Q00/Q00UJ/Q01/QJ71","D685","32-bit Float","He so Kd PID Toc do Master X2"
"Kp_Ms","Mitsubishi Q00/Q00UJ/Q01/QJ71","D687","32-bit Float","He so Kp PID Toc do Ghep Ms"
"Ki_Ms","Mitsubishi Q00/Q00UJ/Q01/QJ71","D689","32-bit Float","He so Ki PID Toc do Ghep Ms"
"Kd_Ms","Mitsubishi Q00/Q00UJ/Q01/QJ71","D691","32-bit Float","He so Kd PID Toc do Ghep Ms"
"Kp_S","Mitsubishi Q00/Q00UJ/Q01/QJ71","D694","32-bit Float","He so Kp PID Toc do Truc S"
"Ki_S","Mitsubishi Q00/Q00UJ/Q01/QJ71","D696","32-bit Float","He so Ki PID Toc do Truc S"
"Kd_S","Mitsubishi Q00/Q00UJ/Q01/QJ71","D698","32-bit Float","He so Kd PID Toc do Truc S"
"Min_Torque_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","D760","32-bit Float","Torque Min Thang M (%)"
"Max_Torque_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","D762","32-bit Float","Torque Max Thang M (%)"
"Init_Holding_Torque_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","D764","32-bit Float","Torque ban dau Thang M (%)"
"Init_Holding_Torque_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","D766","32-bit Float","Torque ban dau Cuon U (%)"
"Test_Speed_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","D800","32-bit Float","Toc do cai dat Test Truc T (0..4000)"
"Test_Torque_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","D801","32-bit Float","Torque cai dat Test Truc T (0..4000)"
"Test_Speed_X1","Mitsubishi Q00/Q00UJ/Q01/QJ71","D802","32-bit Float","Toc do cai dat Test Truc X1 (0..4000)"
"Test_Speed_X2","Mitsubishi Q00/Q00UJ/Q01/QJ71","D804","32-bit Float","Toc do cai dat Test Truc X2 (0..4000)"
"Test_Speed_Ms","Mitsubishi Q00/Q00UJ/Q01/QJ71","D806","32-bit Float","Toc do cai dat Test Truc Ms (0..4000)"
"Test_Speed_S","Mitsubishi Q00/Q00UJ/Q01/QJ71","D808","32-bit Float","Toc do cai dat Test Truc S (0..4000)"
"Test_Torque_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","D810","32-bit Float","Torque cai dat Test Thang M (0..4000)"
"Test_Speed_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","D812","32-bit Float","Toc do cai dat Test Truc U (0..4000)"
"Max_RPM_X2","Mitsubishi Q00/Q00UJ/Q01/QJ71","D820","32-bit Float","Toc do Max RPM Master X2"
"Max_RPM_X1","Mitsubishi Q00/Q00UJ/Q01/QJ71","D822","32-bit Float","Toc do Max RPM Xa X1"
"Max_RPM_Ms","Mitsubishi Q00/Q00UJ/Q01/QJ71","D824","32-bit Float","Toc do Max RPM Ghep Ms"
"Max_RPM_S","Mitsubishi Q00/Q00UJ/Q01/QJ71","D826","32-bit Float","Toc do Max RPM Trang Dau S"
"Max_RPM_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","D828","32-bit Float","Toc do Max RPM Thu T"
"Calib_Gain_T","Mitsubishi Q00/Q00UJ/Q01/QJ71","D830","32-bit Float","He so Calib Gain Loadcell T"
"Calib_Gain_X1","Mitsubishi Q00/Q00UJ/Q01/QJ71","D832","32-bit Float","He so Calib Gain Loadcell X1"
"Calib_Gain_M","Mitsubishi Q00/Q00UJ/Q01/QJ71","D834","32-bit Float","He so Calib Gain Loadcell M"
"Calib_Gain_U","Mitsubishi Q00/Q00UJ/Q01/QJ71","D836","32-bit Float","He so Calib Gain Loadcell U"
