Tag name,Device name,Device type,Address,Data format,Comment
Calib_Weight_X1_kg,MELSEC-Q,D,653,32-bit Signed,Qua can chuan X1 (kg x10)
ADC_Zero_M,MELSEC-Q,D,654,32-bit Signed,Gia tri ADC Zero M
Calib_Weight_M_kg,MELSEC-Q,D,655,32-bit Signed,Qua can chuan M (kg x10)
ADC_Zero_U,MELSEC-Q,D,656,32-bit Signed,Gia tri ADC Zero U
Calib_Weight_U_kg,MELSEC-Q,D,657,32-bit Signed,Qua can chuan U (kg x10)
Calib_Gain_T,MELSEC-Q,D,658,32-bit Signed,He so Calib Gain T (x1000)
Calib_Gain_X1,MELSEC-Q,D,659,32-bit Signed,He so Calib Gain X1 (x1000)
Calib_Gain_M,MELSEC-Q,D,661,32-bit Signed,He so Calib Gain M (x1000)
Calib_Gain_U,MELSEC-Q,D,663,32-bit Signed,He so Calib Gain U (x1000)
Weight_Net_T,MELSEC-Q,D,510,32-bit Signed,Trong luong Luc cang thuc te T (kg/N x10)
Weight_Net_X1,MELSEC-Q,D,512,32-bit Signed,Trong luong Luc cang thuc te X1 (kg/N x10)
Weight_Net_M,MELSEC-Q,D,514,32-bit Signed,Trong luong Luc cang thuc te M (kg/N x10)
Weight_Net_U,MELSEC-Q,D,516,32-bit Signed,Trong luong Luc cang thuc te U (kg/N x10)
SP_Tension_T,MELSEC-Q,D,660,32-bit Signed,Luc cang SP Truc T
SP_Tension_X1,MELSEC-Q,D,662,32-bit Signed,Luc cang SP Truc X1
SP_Tension_M,MELSEC-Q,D,664,32-bit Signed,Luc cang SP Truc M
SP_Tension_U,MELSEC-Q,D,668,32-bit Signed,Luc cang SP Truc U
Taper_Percent_T,MELSEC-Q,D,666,32-bit Signed,Ty le Con luc giam cang cuon thu T (%)
Kp_T,MELSEC-Q,D,670,32-bit Signed,He so Kp PID Truc T
Ki_T,MELSEC-Q,D,672,32-bit Signed,He so Ki PID Truc T
Kd_T,MELSEC-Q,D,674,32-bit Signed,He so Kd PID Truc T
Kp_X1,MELSEC-Q,D,676,32-bit Signed,He so Kp PID Truc X1
Ki_X1,MELSEC-Q,D,678,32-bit Signed,He so Ki PID Truc X1
Kd_X1,MELSEC-Q,D,680,32-bit Signed,He so Kd PID Truc X1
Kp_M,MELSEC-Q,D,682,32-bit Signed,He so Kp PID Truc M
Ki_M,MELSEC-Q,D,684,32-bit Signed,He so Ki PID Truc M
Kd_M,MELSEC-Q,D,686,32-bit Signed,He so Kd PID Truc M
Kp_U,MELSEC-Q,D,688,32-bit Signed,He so Kp PID Truc U
Ki_U,MELSEC-Q,D,690,32-bit Signed,He so Ki PID Truc U
Kd_U,MELSEC-Q,D,692,32-bit Signed,He so Kd PID Truc U
Set_Target_Length,MELSEC-Q,D,700,32-bit Signed,Chieu dai met hang cai dat tu dung (m)
Decel_Distance_Meters,MELSEC-Q,D,702,32-bit Signed,Khoang cach bao giam toc truoc khi dung (m)
Ramp_Accel_Rate,MELSEC-Q,D,704,32-bit Signed,Thanh ghi gia toc ACC (m/p/s)
Ramp_Decel_Rate,MELSEC-Q,D,706,32-bit Signed,Thanh ghi giam toc DEC (m/p/s)
Total_Length_Meters,MELSEC-Q,D,708,32-bit Signed,Tong so met hang da ghep (m)
Release_Pen_Speed_MPM,MELSEC-Q,D,710,32-bit Signed,Toc do nhan bi 2 Pen ep mang (m/p x10)
Real_Dia_T_mm,MELSEC-Q,D,724,32-bit Signed,Duong kinh thuc cuon T (mm)
Real_Dia_M_mm,MELSEC-Q,D,722,32-bit Signed,Duong kinh thuc cuon M (mm)
Real_Dia_U_mm,MELSEC-Q,D,720,32-bit Signed,Duong kinh thuc cuon U (mm)
Core_Dia_T_mm,MELSEC-Q,D,740,32-bit Signed,Duong kinh loi cuon T (mm)
Core_Dia_M_mm,MELSEC-Q,D,742,32-bit Signed,Duong kinh loi cuon M (mm)
Core_Dia_U_mm,MELSEC-Q,D,744,32-bit Signed,Duong kinh loi cuon U (mm)
Max_Dia_T_mm,MELSEC-Q,D,750,32-bit Signed,Duong kinh Max cuon T (mm)
Max_Dia_M_mm,MELSEC-Q,D,752,32-bit Signed,Duong kinh Max cuon M (mm)
Max_Dia_U_mm,MELSEC-Q,D,754,32-bit Signed,Duong kinh Max cuon U (mm)
Current_Line_MPM,MELSEC-Q,D,730,32-bit Signed,Toc do hien tai (m/p x10)
Target_Line_MPM,MELSEC-Q,D,732,32-bit Signed,Toc do muc tieu (m/p x10)
Max_Speed_MPM,MELSEC-Q,D,734,32-bit Signed,Toc do Max (100.0 m/p)
Min_Speed_MPM,MELSEC-Q,D,736,32-bit Signed,Toc do Min (2.0 m/p)
Anti_Dry_Crawl_Speed,MELSEC-Q,D,738,32-bit Signed,Toc do bo cham rua may (1.0 m/p)
Min_Torque_M,MELSEC-Q,D,760,32-bit Signed,Torque Min Thang M
Max_Torque_M,MELSEC-Q,D,762,32-bit Signed,Torque Max Thang M
Init_Holding_Torque_M,MELSEC-Q,D,764,32-bit Signed,Torque ban dau Thang M
Init_Holding_Torque_U,MELSEC-Q,D,766,32-bit Signed,Torque ban dau Cuon U
Dia_Ms_Roller_mm,MELSEC-Q,D,770,32-bit Signed,Duong kinh lo lo ghep Ms (mm x10)
Dia_X2_Roller_mm,MELSEC-Q,D,772,32-bit Signed,Duong kinh lo lo Master X2 (mm x10)
